xid,label,group,col1,cluster,value,clusterLabel,is_context,level,fun,type
1,IN: GYA (non-specific),NA,NA,NA,NA,NA,NA,NA,NA,NA
2,IN: Membership (and holding GYA Office) specifically,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"IN: Specifically the GYA approach & vision: inclusive, supportive, cross-disciplinary",NA,NA,NA,NA,NA,NA,NA,NA,NA
4,IN: Specific training,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,IN: Global and regional interaction,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"IN: Institutional structures of GYA, opportunities to lead",NA,NA,nya,NA,"IN: Institutional structures of GYA, opportunities to lead, support to NYAs and scholarly environment",NA,NA,NA,NA
7,IN: GYA support to NYAs and scholarly environment,NA,NA,nya,NA,NA,NA,NA,NA,NA
8,PERSONAL: Building networks & friendships including international; mutual support,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"PERSONAL: Adopting GYA theory of change and vision incl. diversity, open science..",NA,NA,NA,NA,NA,NA,NA,NA,NA
10,PERSONAL: Developing shared objectives with others & across disciplines,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"PERSONAL: Opportunities, career development, learning, life-changing, crossing disciplines, meeting of minds",NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"PERSONAL: Personal positivity, ambition, energy, growth, inspiration",NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"PERSONAL: Overcoming discrimination against self, winning respect",NA,NA,conf,NA,"PERSONAL: Confidence, overcoming discrimination against self, winning respect",NA,NA,NA,NA
14,"PERSONAL: Awareness of diversity & equality, different perspectives, in science",NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"PERSONAL: Management, leadership, teamwork skills, soft skills",NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"PERSONAL: Confidence, overcoming discrimination against self, winning respect",NA,NA,conf,NA,,NA,NA,NA,NA
17,Doing collaborative projects internationally; publications,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Raising awareness in public and in other scientists,NA,NA,v,NA,"Voice, (potential) input to policy, raising awareness",NA,NA,NA,NA
19,"Voice, (potential) input to policy",NA,NA,v,NA,,NA,NA,NA,NA
20,Science addressed to global problems,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Empowering excluded / less well-connected scientists,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"Scholarly environment & support incl. NYA, mentoring, better teaching",NA,NA,NA,NA,NA,NA,NA,NA,NA
